FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-17 18:07 EDT,Isla Espanola(2 days),-1.37354850769043,-89.6877694129944,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-17 18:07 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-17 15:06 EDT,Isla Espanola(2 days),-1.3661777973175,-89.6933698654175,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-17 15:05 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-17 19:05 EDT,Isla Espanola(2 days),-1.36408567428589,-89.6951293945313,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-17 19:05 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-17 20:13 EDT,Isla Espanola(2 days),-1.36627435684204,-89.6934127807617,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-17 20:13 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-17 19:09 EDT,Isla Espanola(2 days),-1.36406421661377,-89.6956443786621,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-17 19:08 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-17 20:11 EDT,Isla Espanola(2 days),-1.36894583702087,-89.6937346458435,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-17 20:11 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-17 19:05 EDT,Isla Espanola(2 days),-1.36648893356323,-89.6936917304993,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-17 19:05 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-17 10:13 EDT,Isla Espanola(2 days),-1.36632800102234,-89.6933698654175,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-17 10:12 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-17 15:05 EDT,Isla Espanola(2 days),-1.36652112007141,-89.6931552886963,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-17 15:05 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-17 14:56 EDT,Isla Espanola(2 days),-1.36624217033386,-89.6933054924011,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-17 14:56 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-17 13:53 EDT,Isla Espanola(2 days),-1.36556625366211,-89.6926617622375,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-17 13:52 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-17 20:16 EDT,Isla Espanola(2 days),-1.36535167694092,-89.6944212913513,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-17 20:15 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-17 18:02 EDT,Isla Espanola(2 days),-1.36659622192383,-89.6931767463684,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-17 18:01 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-17 19:06 EDT,Isla Espanola(2 days),-1.36543750762939,-89.6931982040405,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-17 19:06 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-17 17:40 EDT,Isla Espanola(2 days),-1.36112451553345,-89.7009658813477,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-17 17:40 EDT

