FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-14-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 10:57 EDT,Santa Cruz Island(2 days),-0.738862752914429,-90.3018450737,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-14 10:57 EDT
NONE,Tortoise,ESP-03-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 10:56 EDT,Santa Cruz Island(1 day),-0.738894939422607,-90.3019309043884,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-14 10:55 EDT
NONE,Tortoise,ESP-08-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 10:13 EDT,Santa Cruz Island(1 day),-0.738905668258667,-90.3018879890442,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-14 10:13 EDT
NONE,Tortoise,ESP-01-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 09:57 EDT,Santa Cruz Island,-0.738798379898071,-90.3018879890442,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-14 09:57 EDT
NONE,Tortoise,ESP-15-M,"Unnamed Road, Puerto Ayora, EC",2020-06-14 09:34 EDT,Santa Cruz Island(2 days),-0.738787651062012,-90.3018450737,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-14 09:34 EDT
NONE,Tortoise,ESP-06-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 08:05 EDT,Santa Cruz Island(about 20 hours),-0.738937854766846,-90.3018879890442,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-14 08:04 EDT
NONE,Tortoise,ESP-13-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 05:54 EDT,Santa Cruz Island(2 days),-0.738894939422607,-90.3019309043884,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-14 05:54 EDT
NONE,Tortoise,ESP-12-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 04:16 EDT,Santa Cruz Island(1 day),-0.738894939422607,-90.302038192749,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-14 04:15 EDT
NONE,Tortoise,ESP-02-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 04:11 EDT,Santa Cruz Island,-0.73883056640625,-90.3019094467163,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-14 04:10 EDT
NONE,Tortoise,ESP-04-H,"Unnamed Road, Puerto Ayora, EC",2020-06-14 04:09 EDT,Santa Cruz Island(1 day),-0.738798379898071,-90.3019309043884,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-14 04:09 EDT
NONE,Tortoise,ESP-05-M,"Unnamed Road, Puerto Ayora, EC",2020-06-14 03:16 EDT,Santa Cruz Island(about 8 hours),-0.73883056640625,-90.3018879890442,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-14 03:16 EDT
NONE,Tortoise,ESP-11-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 01:59 EDT,Santa Cruz Island(2 days),-0.738862752914429,-90.3019309043884,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-13 01:59 EDT
NONE,Tortoise,ESP-10-H,"Unnamed Road, Puerto Ayora, EC",2020-06-12 23:13 EDT,Santa Cruz Island(2 days),-0.738937854766846,-90.3019309043884,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-12 23:12 EDT
NONE,Tortoise,ESP-09-H,"","","","","","","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-12 17:08 EDT
NONE,Tortoise,ESP-07-H,"","","","","","","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-12 17:08 EDT

