FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-24 01:52 EDT,Isla Espanola(8 days),-1.38206720352173,-89.6868252754211,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-24 01:52 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-24 06:53 EDT,Isla Espanola(8 days),-1.36559844017029,-89.6936917304993,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-24 06:52 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-24 02:56 EDT,Isla Espanola(8 days),-1.36636018753052,-89.699592590332,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-24 02:55 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-24 04:00 EDT,Isla Espanola(8 days),-1.36760473251343,-89.6921682357788,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-24 03:59 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-24 07:09 EDT,Isla Espanola(8 days),-1.36486887931824,-89.6946144104004,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-24 07:08 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-24 03:56 EDT,Isla Espanola(8 days),-1.38072609901428,-89.7006869316101,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-24 03:55 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-24 07:08 EDT,Isla Espanola(8 days),-1.36430025100708,-89.6975755691528,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-24 07:08 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-24 06:21 EDT,Isla Espanola(8 days),-1.36220812797546,-89.7017812728882,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-24 06:20 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-24 07:10 EDT,Isla Espanola(8 days),-1.36309862136841,-89.6965885162354,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-24 07:10 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-23 22:57 EDT,Isla Espanola(8 days),-1.36710047721863,-89.6953439712524,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-23 22:57 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-24 01:52 EDT,Isla Espanola(8 days),-1.36374235153198,-89.6921467781067,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-24 01:52 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-24 03:15 EDT,Isla Espanola(9 days),-1.36465430259705,-89.6991634368896,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-24 03:14 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-24 06:04 EDT,Isla Espanola(8 days),-1.36480450630188,-89.696159362793,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-24 06:03 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-24 03:15 EDT,Isla Espanola(8 days),-1.36534094810486,-89.6938419342041,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-24 03:15 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-24 01:34 EDT,Isla Espanola(8 days),-1.36211156845093,-89.6966314315796,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-24 01:34 EDT

