FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-21 13:52 EDT,Isla Espanola(6 days),-1.38282895088196,-89.686975479126,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-21 13:52 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-21 11:02 EDT,Isla Espanola(6 days),-1.3663923740387,-89.6938848495483,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-21 11:02 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-21 18:56 EDT,Isla Espanola(6 days),-1.36500835418701,-89.70139503479,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-21 18:55 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-21 20:18 EDT,Isla Espanola(6 days),-1.36696100234985,-89.6925330162048,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-21 20:17 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-21 19:09 EDT,Isla Espanola(6 days),-1.3657808303833,-89.6953225135803,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-21 19:08 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-21 19:56 EDT,Isla Espanola(6 days),-1.37640237808228,-89.6983051300049,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-21 19:55 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-21 19:14 EDT,Isla Espanola(6 days),-1.36642456054688,-89.6942496299744,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-21 19:13 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-21 22:22 EDT,Isla Espanola(6 days),-1.36201500892639,-89.7025108337402,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-21 22:21 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-21 11:07 EDT,Isla Espanola(6 days),-1.36607050895691,-89.6947646141052,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-21 11:06 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-21 11:02 EDT,Isla Espanola(6 days),-1.36743307113647,-89.6939706802368,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-21 11:02 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-21 17:52 EDT,Isla Espanola(6 days),-1.36458992958069,-89.6919322013855,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-21 17:52 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-21 20:16 EDT,Isla Espanola(6 days),-1.3653838634491,-89.6944212913513,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-21 20:15 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-21 18:09 EDT,Isla Espanola(6 days),-1.36688590049744,-89.694356918335,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-21 18:08 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-21 19:12 EDT,Isla Espanola(6 days),-1.36483669281006,-89.6949791908264,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-21 19:12 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-21 17:49 EDT,Isla Espanola(6 days),-1.36227250099182,-89.6963739395142,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-21 17:48 EDT

