FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-23 09:52 EDT,Isla Espanola(7 days),-1.38297915458679,-89.6870183944702,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-23 09:52 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-23 10:53 EDT,Isla Espanola(7 days),-1.36559844017029,-89.6936917304993,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-23 10:52 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-23 10:56 EDT,Isla Espanola(7 days),-1.36433243751526,-89.6996784210205,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-23 10:55 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-23 08:00 EDT,Isla Espanola(7 days),-1.36696100234985,-89.6925759315491,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-23 07:59 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-23 07:09 EDT,Isla Espanola(7 days),-1.36602759361267,-89.6950006484985,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-23 07:08 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-23 08:04 EDT,Isla Espanola(7 days),-1.37705683708191,-89.6987342834473,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-23 08:03 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-23 10:56 EDT,Isla Espanola(7 days),-1.36592030525208,-89.6953654289246,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-23 10:56 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-23 10:13 EDT,Isla Espanola(7 days),-1.36201500892639,-89.7025108337402,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-23 10:13 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-23 10:57 EDT,Isla Espanola(7 days),-1.36573791503906,-89.6951293945313,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-23 10:57 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-23 10:56 EDT,Isla Espanola(8 days),-1.36773347854614,-89.694356918335,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-23 10:56 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-23 09:52 EDT,Isla Espanola(8 days),-1.36451482772827,-89.6919965744019,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-23 09:52 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-23 08:27 EDT,Isla Espanola(8 days),-1.36537313461304,-89.6944642066956,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-23 08:26 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-23 09:54 EDT,Isla Espanola(7 days),-1.36663913726807,-89.6949791908264,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-23 09:54 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-23 10:57 EDT,Isla Espanola(7 days),-1.36485815048218,-89.6949791908264,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-23 10:57 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-23 09:51 EDT,Isla Espanola(8 days),-1.36193990707397,-89.696524143219,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-23 09:51 EDT

