FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 22:53 EDT,Santa Cruz Island,-0.738755464553833,-90.3018879890442,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-13 22:52 EDT
NONE,Tortoise,ESP-02-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 22:52 EDT,Santa Cruz Island,-0.73881983757019,-90.3019309043884,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-13 22:52 EDT
NONE,Tortoise,ESP-08-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 22:13 EDT,Santa Cruz Island(about 13 hours),-0.738873481750488,-90.3018236160278,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-13 22:13 EDT
NONE,Tortoise,ESP-13-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 22:10 EDT,Santa Cruz Island(2 days),-0.738894939422607,-90.3019094467163,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-13 22:10 EDT
NONE,Tortoise,ESP-15-M,"Unnamed Road, Puerto Ayora, EC",2020-06-13 21:49 EDT,Santa Cruz Island(1 day),-0.73881983757019,-90.3018236160278,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-13 21:48 EDT
NONE,Tortoise,ESP-03-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 19:01 EDT,Santa Cruz Island(about 20 hours),-0.738905668258667,-90.3019309043884,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-13 19:01 EDT
NONE,Tortoise,ESP-12-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 16:34 EDT,Santa Cruz Island(about 19 hours),-0.73884129524231,-90.302038192749,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-13 16:33 EDT
NONE,Tortoise,ESP-14-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 16:11 EDT,Santa Cruz Island(2 days),-0.73884129524231,-90.3018450737,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-13 16:11 EDT
NONE,Tortoise,ESP-04-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 16:08 EDT,Santa Cruz Island(about 15 hours),-0.738658905029297,-90.3019738197327,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-13 16:08 EDT
NONE,Tortoise,ESP-06-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 16:06 EDT,Santa Cruz Island(about 7 hours),-0.738970041275024,-90.3019309043884,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-13 16:06 EDT
NONE,Tortoise,ESP-11-H,"Unnamed Road, Puerto Ayora, EC",2020-06-13 01:59 EDT,Santa Cruz Island(1 day),-0.738862752914429,-90.3019309043884,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-13 01:59 EDT
NONE,Tortoise,ESP-10-H,"Unnamed Road, Puerto Ayora, EC",2020-06-12 23:13 EDT,Santa Cruz Island(2 days),-0.738937854766846,-90.3019309043884,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-12 23:12 EDT
NONE,Tortoise,ESP-09-H,"","","","","","","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-12 17:08 EDT
NONE,Tortoise,ESP-07-H,"","","","","","","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-12 17:08 EDT
NONE,Tortoise,ESP-05-M,"","","","","","","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-12 17:07 EDT

